medio,seccion,titular,url,fecha,len_titular
La República,Política,JNJ apunta contra el Poder Judicial: da 5 días a Janet Tello para que responda por supuesta omisión en su declaración jurada,https://larepublica.pe/politica/2026/01/27/jnj-da-un-plazo-de-5-dias-a-janet-tello-para-que-responda-por-supuesta-omision-en-su-declaracion-jurada-hnews-1817073,2026-01-27T20:09:32-05:00,124
La República,Política,Colegio de Abogados de Lima suspende a Patricia Benavides Vargas como abogada por seis meses,https://larepublica.pe/politica/2026/01/27/patricia-benavides-colegio-de-abogados-de-lima-suspende-a-fiscal-suprema-como-abogada-por-seis-meses-hnews-1288548,2026-01-28T13:56:53-05:00,92
La República,Política,Marcha 28 de enero: víctimas de las protestas caminan hacia Lima para exigir justicia,https://larepublica.pe/politica/2026/01/27/marcha-de-sacrificio-uyariy-victimas-de-las-protestas-caminan-hacia-lima-para-exigir-justicia-este-28-de-enero-hnews-486486,2026-01-27T16:59:04-05:00,85
La República,Política,Rechazan pedido de Zhihua Yang para aplazar entrega de hidroeléctrica hasta 2029,https://larepublica.pe/politica/2026/01/27/rechazan-pedido-de-zhihua-yang-para-aplazar-entrega-de-hidroelectrica-hasta-2029-jose-jeri-hidroelectrica-pachachaca-2-hnews-1843398,2026-01-27T22:41:06-05:00,80
La República,Política,"Estudiante confronta a Jerí por Pronabec: ""No es hora de estar comiendo chifa""",https://larepublica.pe/politica/2026/01/27/estudiante-confronta-a-jose-jeri-por-demoras-en-resultados-de-pronabec-no-es-hora-de-estar-comiendo-chifa-hnews-1272753,2026-01-27T20:27:23-05:00,78
La República,Política,"Marcha 28 de enero EN VIVO: ciudadanos de Ayacucho, Generación Z y colectivos exigen justicia",https://larepublica.pe/politica/2026/01/28/marcha-28-de-enero-en-vivo-ciudadanos-de-ayacucho-generacion-z-y-colectivos-exigen-justicia-hnews-2263884,2026-01-28T20:26:40-05:00,93
La República,Política,"Nombre oficial del 2026: ""Año de la Esperanza y el Fortalecimiento de la Democracia""",https://larepublica.pe/politica/2026/01/23/gobierno-de-peru-oficializa-nombre-del-ano-2026-como-ano-de-la-esperanza-y-el-fortalecimiento-de-la-democracia-hnews-1661819,2026-01-28T20:00:00-05:00,84
La República,Política,"Mientras Oxenford anuncia derrota de Keiko, Cornejo ve a López-Chau como el ""único que ha levantado cabeza"" dentro de la izquierda",https://larepublica.pe/politica/2026/01/28/mientras-oxenford-anuncia-derrota-de-keiko-cornejo-ve-a-lopezchau-como-el-unico-que-ha-levantado-cabeza-dentro-de-la-izquierda-hnews-2500820,2026-01-28T19:37:59-05:00,130
La República,Política,"Presidenta del Poder Judicial: ""Los jueces no se rinden ante amenazas, imputaciones infundadas o agresiones""",https://larepublica.pe/politica/2026/01/28/presidenta-del-poder-judicial-lanza-contundente-mensaje-destaco-la-resiliencia-de-jueces-que-no-se-rinden-ante-amenazas-hnews-2708916,2026-01-28T19:18:32-05:00,108
La República,Política,Carlín sobre respaldo a López Aliaga: “Lima vive en una burbuja y aún no supera el trauma de haber tenido a un serrano como presidente”,https://larepublica.pe/politica/2026/01/28/carlin-sobre-respaldo-a-lopez-aliaga-lima-vive-en-una-burbuja-y-aun-no-supera-el-trauma-de-haber-tenido-a-un-serrano-como-presidente-hnews-1572620,2026-01-28T18:11:12-05:00,135
La República,Política,"Pablo Sánchez critica decisión de la JNJ tras no ser ratificado: ""Los motivos no son jurídicos""",https://larepublica.pe/politica/2026/01/28/pablo-sanchez-critica-decision-de-la-jnj-tras-no-ser-ratificado-los-motivos-no-son-juridicos-hnews-351652,2026-01-28T17:53:50-05:00,95
La República,Política,Los temas que responderá José Jerí ante el fiscal de la Nación por las reuniones con Zhihua Yang y Ji Wu Xiaodong,https://larepublica.pe/politica/2026/01/28/jose-jeri-los-temas-que-respondera-el-presidente-ante-el-fiscal-de-la-nacion-por-las-reuniones-con-zhihua-yang-y-ji-wu-xiaodong-hnews-2454256,2026-01-28T17:42:26-05:00,113
La República,Política,"Renovación Popular realizó pintas en muros a favor de Rafael López Aliaga sin autorización, alerta JEE",https://larepublica.pe/politica/2026/01/28/renovacion-popular-realizo-pintas-en-muros-a-favor-de-lopez-aliaga-sin-autorizacion-alerta-jee-hnews-1357888,2026-01-28T15:54:45-05:00,102
La República,Política,¿Serás miembro de mesa? ONPE confirma pago de S/165 y fecha del sorteo oficial,https://larepublica.pe/politica/2026/01/28/seras-miembro-de-mesa-onpe-confirma-pago-de-s165-y-fecha-del-sorteo-oficial-hnews-2266208,2026-01-28T15:35:52-05:00,78
La República,Política,"""Potencia mundial es poner agua en los Cerros"": así respondió Norma Yarrow sobre la gestión de López Aliaga",https://larepublica.pe/politica/2026/01/28/norma-yarrow-responde-sobre-gestion-de-rafael-lopez-aliaga-potencia-mundial-es-poner-agua-en-los-cerros-hnews-2603468,2026-01-28T14:01:41-05:00,107
La República,Política,"Rosa María Palacios sobre Jerí: “Por eso le han puesto Bukele de Temu, porque es falsísimo”",https://larepublica.pe/politica/2026/01/28/rosa-maria-palacios-sobre-jeri-por-eso-le-han-puesto-bukele-de-temu-porque-es-falsisimo-hnews-1649004,2026-01-28T14:00:47-05:00,91
La República,Política,Delia Espinoza: Poder Judicial admite a trámite querella contra Fernando Rospigliosi por difamación agravada,https://larepublica.pe/politica/2026/01/28/delia-espinoza-poder-judicial-admite-a-tramite-querella-contra-fernando-rospigliosi-por-difamacion-hnews-921256,2026-01-28T13:26:45-05:00,108
La República,Política,Poder Judicial autoriza inicio del juicio oral contra Alejandro Toledo por caso Interoceánica Sur-Tramo 4,https://larepublica.pe/politica/2026/01/28/alejandro-toledo-poder-judicial-autoriza-inicio-del-juicio-oral-por-caso-interoceanica-surtramo-4-hnews-310268,2026-01-28T11:28:28-05:00,105
La República,Política,Alférez y 2 suboficiales PNP van a prisión por robo agravado e intervención irregular a extranjeros,https://larepublica.pe/politica/2026/01/28/alferez-y-2-suboficiales-pnp-van-a-prision-por-robo-agravado-e-intervencion-irregular-a-extranjeros-corrupcion-hnews-903280,2026-01-28T10:49:38-05:00,99
La República,Política,Cárceles: ¿Cuarteles del crimen o solo un engaño del Gobierno de José Jerí?,https://larepublica.pe/politica/2026/01/28/carceles-centros-de-planificacion-de-crimenes-o-solo-un-engano-del-gobierno-hnews-1798888,2026-01-28T10:46:45-05:00,75
La República,Política,"Vocero de APP cuestiona a su bancada por no apoyar vacancia contra Jerí: ""Están haciendo lo que les da la gana""",https://larepublica.pe/politica/2026/01/28/vocero-de-app-cuestiona-a-su-bancada-por-no-apoyar-vacancia-contra-jose-jeri-estan-haciendo-lo-que-les-da-la-gana-cesar-acuna-hnews-1993992,2026-01-28T09:56:35-05:00,111
La República,Política,Elecciones 2026: JNE designa a miembros titulares del Tribunal de Honor del Pacto Ético Electoral,https://larepublica.pe/politica/2026/01/27/elecciones-2026-jne-designa-a-miembros-titulares-del-tribunal-de-honor-del-pacto-etico-electoral-hnews-2470284,2026-01-28T05:22:00-05:00,97
La República,Política,Poder Judicial condena a Procuradora General del Estado por omisión y rehusamiento de actos funcionales,https://larepublica.pe/politica/2026/01/27/poder-judicial-condena-a-procuradora-general-del-estado-por-omision-y-rehusamiento-de-actos-funcionales-hnews-2051595,2026-01-28T05:22:00-05:00,103
La República,Política,Gobierno de José Jerí aplaza por segunda vez la creación del Plan Nacional de Seguridad Ciudadana,https://larepublica.pe/politica/2026/01/26/gobierno-de-jose-jeri-aplaza-por-segunda-vez-la-creacion-del-plan-nacional-de-seguridad-ciudadana-hnews-2100384,2026-01-28T05:21:00-05:00,97
La República,Política,JEE deja fuera de carrera electoral a Edwin Donayre: declaró improcedente su candidatura por caso Gasolinazo,https://larepublica.pe/politica/2026/01/27/jee-deja-fuera-de-carrera-electoral-a-edwin-donayre-declaro-improcedente-su-candidatura-por-caso-gasolinazo-hnews-681021,2026-01-28T05:19:00-05:00,108
La República,Política,“Tío Johnny” Yang pidió al gobierno de Jerí ampliar plazo de concesión de hidroeléctrica,https://larepublica.pe/politica/2026/01/26/tio-johnny-yang-pidio-al-gobierno-de-jose-jeri-ampliar-plazo-de-concesion-de-hidroelectrica-zhihua-yang-hidroelectrica-pachachaca-2-hnews-1115504,2026-01-27T22:40:16-05:00,88
La República,Política,Martín Vizcarra seguirá en la cárcel: PJ declaró infundado pedido de suspensión de sentencia,https://larepublica.pe/politica/2026/01/27/martin-vizcarra-seguira-en-la-carcel-pj-declaro-infundado-pedido-de-suspension-de-sentencia-hnews-2132595,2026-01-27T22:20:08-05:00,92
La República,Política,Congreso postergó 26 veces debate de investigación sobre el “Club del Dragón”,https://larepublica.pe/politica/2026/01/26/congreso-postergo-26-veces-debate-de-investigacion-sobre-el-club-del-dragon-jose-jeri-zhihua-yang-hector-valer-fuerza-popular-hnews-471224,2026-01-27T20:32:44-05:00,77
La República,Política,José Jerí será interrogado por Tomás Gálvez en Palacio este viernes a las 9:00 de la mañana,https://larepublica.pe/politica/2026/01/27/jose-jeri-sera-interrogado-por-tomas-galvez-en-palacio-este-viernes-a-las-900-de-la-manana-hnews-1378134,2026-01-27T19:43:37-05:00,91
